service,timestamp,rr,sr,mrt,count
adservice-grpc,1647716400,100.0,100.0,2.429508196728182,61
adservice-grpc,1647716460,100.0,100.0,2.429508196728182,61
adservice-grpc,1647716520,100.0,100.0,2.332967032959869,91
adservice-grpc,1647716580,100.0,100.0,2.6470149253832123,67
adservice-grpc,1647716640,100.0,100.0,2.509999999996987,85
adservice-grpc,1647716700,100.0,100.0,2.3900000000014328,65
adservice-grpc,1647716760,100.0,100.0,2.3271084337324153,83
adservice-grpc,1647716820,100.0,100.0,2.1757142857199403,70
adservice-grpc,1647716880,100.0,100.0,2.496987951800216,83
adservice-grpc,1647716940,100.0,100.0,2.3911392405080973,79
adservice-grpc,1647717000,100.0,100.0,2.4155844155829036,77
adservice-grpc,1647717060,100.0,100.0,2.2352941176552763,85
adservice-grpc,1647717120,100.0,100.0,2.320270270260202,74
adservice-grpc,1647717180,100.0,100.0,2.4780487804971747,82
adservice-grpc,1647717240,100.0,100.0,2.3466216216124973,74
adservice-grpc,1647717300,100.0,100.0,2.4183908046046594,87
adservice-grpc,1647717360,100.0,100.0,2.366666666665033,57
adservice-grpc,1647717420,100.0,100.0,2.293888888887078,90
adservice-grpc,1647717480,100.0,100.0,2.561016949158067,59
adservice-grpc,1647717540,100.0,100.0,2.215168539320872,89
adservice-grpc,1647717600,100.0,100.0,2.5048387096725375,62
adservice-grpc,1647717660,100.0,100.0,2.390340909094613,88
adservice-grpc,1647717720,100.0,100.0,2.475000000004939,66
adservice-grpc,1647717780,100.0,100.0,2.362048192766035,83
adservice-grpc,1647717840,100.0,100.0,2.279508196722075,61
adservice-grpc,1647717900,100.0,100.0,2.3582417582363853,91
adservice-grpc,1647717960,100.0,100.0,2.3028169014084505,71
adservice-grpc,1647718020,100.0,100.0,2.4459302325659906,86
adservice-grpc,1647718080,100.0,100.0,2.4078571428594713,70
adservice-grpc,1647718140,100.0,100.0,2.3784810126511546,79
adservice-grpc,1647718200,100.0,100.0,2.490410958907937,73
adservice-grpc,1647718260,100.0,100.0,2.236250000000291,80
adservice-grpc,1647718320,100.0,100.0,2.3227272727284825,77
adservice-grpc,1647718380,100.0,100.0,2.439726027393752,73
adservice-grpc,1647718440,100.0,100.0,2.2738095238150673,84
adservice-grpc,1647718500,100.0,100.0,2.447887323939399,71
adservice-grpc,1647718560,100.0,100.0,2.202564102560222,78
adservice-grpc,1647718620,100.0,100.0,2.4102564102579027,78
adservice-grpc,1647718680,100.0,100.0,2.320270270271214,74
adservice-grpc,1647718740,100.0,100.0,2.3867469879487215,83
adservice-grpc,1647718800,100.0,100.0,2.2723880597084425,67
adservice-grpc,1647718860,100.0,100.0,2.3944444444444444,90
adservice-grpc,1647718920,100.0,100.0,2.3430769230776396,65
adservice-grpc,1647718980,100.0,100.0,2.3676829268196142,82
adservice-grpc,1647719040,100.0,100.0,2.4256250000034925,80
adservice-grpc,1647719100,100.0,100.0,2.1737500000017462,80
adservice-grpc,1647719160,100.0,100.0,2.362337662336453,77
adservice-grpc,1647719220,100.0,100.0,2.3712643678166274,87
adservice-grpc,1647719280,100.0,100.0,2.3405797101449277,69
adservice-grpc,1647719340,100.0,100.0,2.333950617288837,81
adservice-grpc,1647719400,100.0,100.0,2.2190140845109774,71
adservice-grpc,1647719460,100.0,100.0,2.2557471264327673,87
adservice-grpc,1647719520,100.0,100.0,2.3841269841225494,63
adservice-grpc,1647719580,100.0,100.0,2.3040229885038737,87
adservice-grpc,1647719640,100.0,100.0,2.1884615384651203,65
adservice-grpc,1647719700,100.0,100.0,2.205056179779205,89
adservice-grpc,1647719760,100.0,100.0,2.3539682539634494,63
adservice-grpc,1647719820,100.0,100.0,2.3196629213504076,89
adservice-grpc,1647719880,100.0,100.0,2.399242424238544,66
adservice-grpc,1647719940,100.0,100.0,2.2843137254913373,102
cartservice-grpc,1647716400,100.0,100.0,1.0670940170923255,117
cartservice-grpc,1647716460,100.0,100.0,1.0670940170923255,117
cartservice-grpc,1647716520,100.0,100.0,1.0730468750032287,128
cartservice-grpc,1647716580,100.0,100.0,1.0853448275866584,116
cartservice-grpc,1647716640,100.0,100.0,1.0487903225805513,124
cartservice-grpc,1647716700,100.0,100.0,1.0758333333322905,120
cartservice-grpc,1647716760,100.0,100.0,1.1096638655434303,119
cartservice-grpc,1647716820,100.0,100.0,1.0495833333348856,120
cartservice-grpc,1647716880,100.0,100.0,1.0563909774396703,133
cartservice-grpc,1647716940,100.0,100.0,1.0499999999997922,126
cartservice-grpc,1647717000,100.0,100.0,1.075000000007109,122
cartservice-grpc,1647717060,100.0,100.0,1.0420454545380904,132
cartservice-grpc,1647717120,100.0,100.0,1.1064000000061933,125
cartservice-grpc,1647717180,100.0,100.0,1.0758333333345944,120
cartservice-grpc,1647717240,100.0,100.0,1.078776978416617,139
cartservice-grpc,1647717300,100.0,100.0,1.0579646017664603,113
cartservice-grpc,1647717360,100.0,100.0,1.0754166666672973,120
cartservice-grpc,1647717420,100.0,100.0,1.0937500000020788,112
cartservice-grpc,1647717480,100.0,100.0,1.1062499999972033,128
cartservice-grpc,1647717540,100.0,100.0,1.0305309734524606,113
cartservice-grpc,1647717600,100.0,100.0,1.0914634146374589,123
cartservice-grpc,1647717660,100.0,100.0,1.0670833333279006,120
cartservice-grpc,1647717720,100.0,100.0,1.0665289256223842,121
cartservice-grpc,1647717780,100.0,100.0,1.0853448275836477,116
cartservice-grpc,1647717840,100.0,100.0,1.0153225806510995,124
cartservice-grpc,1647717900,100.0,100.0,1.0943965517167114,116
cartservice-grpc,1647717960,100.0,100.0,1.095801526722134,131
cartservice-grpc,1647718020,100.0,100.0,1.0736434108530517,129
cartservice-grpc,1647718080,100.0,100.0,1.1097457627134428,118
cartservice-grpc,1647718140,100.0,100.0,1.049193548382919,124
cartservice-grpc,1647718200,100.0,100.0,1.0416666666675907,126
cartservice-grpc,1647718260,100.0,100.0,1.1012396694246145,121
cartservice-grpc,1647718320,100.0,100.0,1.0411999999969266,125
cartservice-grpc,1647718380,100.0,100.0,1.1465811965804005,117
